depth,Validation ACC,Test ACC,Validation MCC,Test MCC
1,0.5990338164251208,0.6648936170212766,0.23884986295784022,0.37562652600113
2,0.6690821256038647,0.776595744680851,0.33688114808064484,0.5552058482866767
3,0.6920289855072463,0.7553191489361702,0.38877224624071477,0.5111012519999519
4,0.7004830917874396,0.7553191489361702,0.40353258589106417,0.5111012519999519
5,0.6980676328502415,0.7659574468085106,0.4082673128449555,0.5323971374999499
6,0.7065217391304348,0.7553191489361702,0.4257187005466014,0.5135525910130955
7,0.6980676328502415,0.7659574468085106,0.40630227276028946,0.5363029001751802
8,0.6944444444444444,0.7659574468085106,0.3950174265149476,0.5349506156386411
9,0.6871980676328503,0.7872340425531915,0.3778507604925328,0.5765599193746258
10,0.6763285024154589,0.7553191489361702,0.35706761933028436,0.5124977061107785
11,0.6727053140096618,0.7446808510638298,0.34850380676215065,0.4911436350228294
12,0.6666666666666666,0.75,0.33626256739634613,0.5023076388236194
13,0.6618357487922706,0.7340425531914894,0.3265753414059081,0.4719465521541586
14,0.6545893719806763,0.7340425531914894,0.31204450242025106,0.4719465521541586
15,0.6509661835748792,0.6968085106382979,0.3039539238945268,0.3947129823739461
16,0.644927536231884,0.7021276595744681,0.29153401687115593,0.40508136107565984
17,0.6376811594202898,0.7074468085106383,0.2762464256138319,0.41604881925902426
18,0.6352657004830918,0.6968085106382979,0.2712348447361437,0.39417504279536575
19,0.6340579710144928,0.6968085106382979,0.268564300130984,0.39417504279536575
20,0.6304347826086957,0.6968085106382979,0.2607774631001699,0.39417504279536575
